archivo,patron,tiempo_ms
english.1024MB_clean.txt,asklbkashhvcsd,1921
english.1024MB_clean.txt,Moscow,947
english.1024MB_clean.txt,English,942
english.1024MB_clean.txt,XDdabsdrsaf,925
english.1024MB_clean.txt,Storm,952
english.1024MB_clean.txt,Government,936
english.1024MB_clean.txt,Salvation,952
english.1024MB_clean.txt,Revolution,937
english.1024MB_clean.txt,Power,937
english.1024MB_clean.txt,Congress,945
english.1024MB_clean.txt,aksld;fjaslbk,1835
english.1024MB_clean.txt,asklbkashhvcsd,1921
